oak_channel,537
oak_core,246
oak_crypto,1635
oak_dice,454
oak_linux_boot_params,406
oak_proto_rust,2378
oak_restricted_kernel,4523
oak_restricted_kernel_dice,124
oak_restricted_kernel_interface,328
oak_sev_guest,2438
oak_sev_snp_attestation_report,206
oak_virtio,1850
sev_serial,87
third_party/rust-hypervisor-firmware-virtio,471
acpi,2127
aead,857
aes,5066
aes-gcm,6412
ahash,3533
aml,4979
anyhow,4014
arrayvec,2139
atomic_refcell,614
base16ct,453
base64ct,2024
bit_field,746
bitflags,2062
bitvec,19485
block-buffer,507
byteorder,3005
bytes,5534
cfg-if,153
chacha20,1232
chacha20poly1305,404
ciborium,4124
ciborium-io,210
ciborium-ll,784
cipher,1626
const-oid,5097
coset,8401
cpufeatures,457
crypto-bigint,9263
crypto-common,223
ctr,942
curve25519-dalek,26587
der,8564
digest,1698
ecdsa,2482
elliptic-curve,4745
ff,493
funty,881
generic-array,1475
getrandom,1295
ghash,153
goblin,16099
group,817
half,5067
hashbrown,11536
hex,574
hkdf,669
hmac,500
hpke,3623
inout,599
libc,109171
libm,9231
linked_list_allocator,1199
lock_api,2883
log,3039
once_cell,2227
opaque-debug,34
p256,2935
pem-rfc7468,726
pkcs8,966
plain,299
poly1305,1642
polyval,938
ppv-lite86,3547
primeorder,1931
prost,2377
prost-types,2438
radium,706
rand_chacha,741
rand_core,876
rfc6979,188
scopeguard,315
scroll,1496
sec1,1112
self_cell,448
serde,10602
sha2,1850
signature,334
snafu,4459
spinning_top,584
spki,781
static_assertions,266
strum,156
subtle,806
tap,435
typenum,5894
unicode-ident,2565
universal-hash,147
volatile,346
wyz,1363
x25519-dalek,493
x86_64,7107
zerocopy,6624
zeroize,940
error-chain,1884
cranelift-isle,5705
prost-types,2438
derive_builder_core,2759
windows-core,4238
base64,5175
flagset,437
cpufeatures,457
wasm-bindgen-macro,480
socket2,5328
arrayvec,2139
plotters-backend,1123
aml,4979
opentelemetry-proto,5321
itoa,321
iana-time-zone-haiku,130
cast,538
cpp_demangle,10478
thiserror,1492
chacha20,1232
tower,8851
http-0.2.11,7984
schannel,3719
tikv-jemallocator,731
winapi-x86_64-pc-windows-gnu,23
wasmi,14838
futures-core,333
ring,211410
x86_64,7107
regex-lite,4859
syn-1.0.109,49061
rgb,1963
fiat-crypto,77601
futures-task,525
tokio-stream,3552
android_system_properties,133
futures-executor,1126
signal-hook,1628
mockall,393
hmac,500
ff,493
scroll_derive,544
subtle,806
tonic,9610
xattr,795
wasmtime-fiber,1424
criterion-plot,1983
num-format,10222
async-stream-impl,281
android-tzdata,169
spin-0.5.2,920
percent-encoding,416
wit-parser,15210
crypto-common,223
env_logger,1745
wasmtime,38046
pkg-config,1137
try-lock,156
hpke,3623
itertools-0.10.5,11478
linked_list_allocator,1199
libm,9231
hex,574
rsa,4903
bitflags-1.3.2,1412
rustix,42742
walkdir,1933
itertools-0.11.0,11934
axum,12035
criterion,10645
derive_builder_macro,61
adler,351
inferno,6155
wasmi_core,2250
opentelemetry-semantic-conventions,119
rand_chacha,741
curve25519-dalek-derive,560
rlsf,2736
fragile,974
sec1,1112
cranelift-codegen-shared,42
ctr,942
uart_16550,295
errno,327
p384,30760
log,3039
multimap,944
libredox,537
serde_yaml,10442
zerocopy-derive,3301
windows_i686_gnu,21
spin,2712
embedded-io,485
aead,857
utf8parse,215
ordered-float,3111
aes-gcm,6412
embedded-io-0.4.0,972
bytes,5534
windows_x86_64_gnullvm-0.48.5,20
half,5067
filetime,1213
sync_wrapper,103
windows-targets-0.48.5,70
windows-targets,71
deranged,1862
gimli,35696
iana-time-zone,2920
pin-project-internal,1613
prost-build,3330
memfd,441
syn,49993
pprof,2866
wasmtime-asm-macros,89
windows_aarch64_gnullvm,21
winnow,20148
rustc-demangle,1948
libc,109171
zeroize_derive,799
semver,2203
procfs,3861
unsafe-libyaml,10850
str_stack,332
base64-0.13.1,5491
curve25519-dalek,26587
object-0.32.2,31921
nix,31270
byteorder,3005
psm,1942
cranelift-native,257
clap,2366
hashbrown-0.14.3,11621
windows_i686_msvc,21
vsock,417
futures-io,316
p256,2935
core-foundation,2952
group,817
smallvec,2848
wasi,1554
tar,4787
num-iter,650
der,8564
strsim,849
id-arena,644
rayon-core,4468
cfg_aliases,214
cfg-if,153
wasmparser-nostd,14155
wasmtime-environ,10983
scroll,1496
windows_aarch64_msvc-0.48.5,20
cranelift-wasm,6044
hyper,19070
windows_aarch64_msvc,21
futures-macro,563
wasmi_arena,760
uuid,3649
chacha20poly1305,404
anstream,2263
windows_x86_64_gnu-0.48.5,20
predicates,2416
redox_users,1142
spki,781
mime,1152
block-buffer,507
signal-hook-tokio,143
pin-utils,100
tinytemplate,1938
itertools,14277
opentelemetry_sdk,13407
anyhow,4014
rustls,31611
fixedbitset,1488
ident_case,133
which,1188
plotters-svg,756
cobs,540
ahash,3533
signal-hook-registry,591
chrono,18110
wasmtime-wit-bindgen,2867
downcast,473
rustc_version,669
x25519-dalek,493
proc-macro2,4714
windows_i686_gnu-0.48.5,20
tower-layer,446
futures-channel,2227
rustversion,1086
elliptic-curve,4745
aes,5066
equator,971
goblin,16099
memmap2,1913
winapi-i686-pc-windows-gnu,23
tokio-macros,671
want,310
autocfg,570
generic-array,1475
colorchoice,142
zstd-sys,54076
target-lexicon,2478
once_cell,2227
x509-cert,5193
home,190
wasmprinter,4183
primeorder,1931
tonic-build,1924
hashbrown-0.13.2,9750
windows_i686_msvc-0.48.5,20
ciborium-ll,784
mio,7693
h2,17830
winapi-util,618
windows_x86_64_msvc,21
oorandom,372
anstyle,1251
quote,2006
assertables,46568
derive_builder,2079
toml,6902
bitflags,2062
cranelift-frontend,2946
wasmtime-cranelift,9781
crossbeam-utils,2896
wasm-bindgen-shared,231
ghash,153
raw-cpuid,9609
volatile,346
crossbeam-deque,2214
security-framework,7293
futures,7445
windows-sys-0.48.0,497904
aligned-vec,1450
tempfile,2047
core-foundation-sys,4215
clap_builder,15855
wasmparser,20875
unicode-ident,2565
static_assertions,266
rustls-pemfile,703
serde_json,16872
tower-service,74
cranelift-bforest,2552
windows-sys,384747
flate2,4430
ubyte,696
crypto-bigint,9263
hostname,273
http,8187
http-body,1307
addr2line,2847
sptr,535
wasmtime-component-macro,2119
tracing-attributes,3198
portpicker,67
serde,10602
regalloc2,7864
slab,1424
zeroize,940
syslog,757
backtrace,5614
wasm-bindgen-futures,707
svgbobdoc,559
ryu,2983
bitvec,19485
prost-derive,2200
rustls-pki-types,1644
oci-spec,4925
opentelemetry,4335
num-traits,4300
either,1015
unicode-width,1125
digest,1698
fnv,326
match_cfg,145
tokio-rustls,1791
windows_aarch64_gnullvm-0.48.5,20
memchr,8645
serde_spanned,322
const-oid,5097
winapi,177051
glob,1309
rfc6979,188
foldhash,572
atomic_refcell,614
command-group,2517
crc32fast,1262
crossbeam-epoch,2810
toml_datetime,631
rustls-native-certs,421
stable_deref_trait,70
rustc-hash,105
is-terminal,320
pkcs8,966
same-file,485
bumpalo,3637
httpdate,553
anstyle-query,217
port_check,145
coset,8401
futures-util,16320
darling_macro,52
const-default,536
regex,10960
num_cpus,821
procfs-core,5344
windows_x86_64_gnu,21
thiserror-impl,1520
tracing-core,3425
spinning_top,584
humantime,1109
matchit,1920
num-conv,228
anstyle-wincon,653
base16ct,453
time-macros,2735
prettyplease,7438
fallible-iterator,2661
quick-xml,11014
rand_core,876
darling,2239
command-fds,366
scopeguard,315
lock_api,2883
x86,458079
virtio-drivers,5935
radium,706
downcast-rs,476
toml_edit,13137
httparse,5605
sha2,1850
pin-project-lite,4644
windows_x86_64_msvc-0.48.5,20
wasm-bindgen,10467
inout,599
serde_derive,7235
hashbrown,11536
tracing,6754
findshlibs,1442
wasmtime-slab,269
tokio,63210
linux-raw-sys,212776
leb128,624
memoffset,601
windows_x86_64_gnullvm,21
hashbrown-0.12.3,9671
wyz,1363
wasmtime-types,1237
heck-0.4.1,537
proc-macro-error,901
hyper-timeout,326
js-sys,7854
tokio-io-timeout,498
num_threads,142
snafu,4459
object,35013
clap_lex,385
clap_derive,3624
untrusted,526
opentelemetry-otlp,2388
security-framework-sys,1580
maplit,277
crossbeam-channel,14289
darling_core,6784
tokio-util,9633
poly1305,1642
allocator-api2,3475
fastrand,882
futures-sink,137
proc-macro-error-attr,257
unicode-xid,1686
tap,435
lazy_static,305
equator-macro,699
petgraph,20444
heck,533
miniz_oxide,4240
self_cell,448
nix-0.26.4,30333
plotters,14228
urlencoding,360
zstd,2200
universal-hash,147
criterion-macro,96
directories-next,491
env_filter,787
getrandom,1295
arbitrary,2051
mockall_derive,5704
num-integer,2135
pin-project,9489
postcard,4022
pkcs1,1264
powerfmt,859
equivalent,45
parking_lot,3596
debugid,750
ppv-lite86,3547
dirs-sys-next,375
base64ct,2024
indexmap-nostd,1035
mach2,1993
redox_syscall,3177
typenum,5894
cranelift-codegen-meta,10011
funty,881
ciborium-io,210
indexmap-1.9.3,6178
